"first_name","last_name","email","Remaining Goal Amount"
"calogero.cross@mercantini.it","Calogero","Cross",153288.0
"lauretta.neal@hotmail.de","Lauretta","Neal",151747.0
"chantal.armas@jenkins.net","Chantal","Armas",98164.0
"ariadna.geisel@rangel.com","Ariadna","Geisel",88154.0
"mathilde.kruschwitz@yahoo.com","Mathilde","Kruschwitz",72323.0
"guillermina.nicholson@grondin.fr","Guillermina","Nicholson",71872.0
"henry.gucci@leleu.fr","Henry","Gucci",41198.0
"gabriela.padilla@pearson-russell.com","Gabriela","Padilla",40291.0
"svenja.perrin@berger.com","Svenja","Perrin",8362.0
"caroline.reeves@yahoo.com","Caroline","Reeves",3768.0
"katarina.clarke@hotmail.com.au","Katarina","Clarke",3739.0
"imelda.guerin@stumpf.net","Imelda","Guerin",1559.0
"danny.farrell@hotmail.com","Danny","Farrell",1503.0
"tobias.carbajal@live.com","Tobias","Carbajal",426.0
